name,id,type,entry_url,north,south,east,west,url,fields
zg_Amon_MIROC5_AquaControl_r1i1p1_101601-104512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3pnX0Ftb25fTUlST0M1X0FxdWFDb250cm9sX3IxaTFwMV8xMDE2MDEtMTA0NTEyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3pnX0Ftb25fTUlST0M1X0FxdWFDb250cm9sX3IxaTFwMV8xMDE2MDEtMTA0NTEyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/zg_Amon_MIROC5_AquaControl_r1i1p1_101601-104512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3pnX0Ftb25fTUlST0M1X0FxdWFDb250cm9sX3IxaTFwMV8xMDE2MDEtMTA0NTEyLm5j,
wap_Amon_MIROC5_AquaControl_r1i1p1_101601-104512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3dhcF9BbW9uX01JUk9DNV9BcXVhQ29udHJvbF9yMWkxcDFfMTAxNjAxLTEwNDUxMi5uYw==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3dhcF9BbW9uX01JUk9DNV9BcXVhQ29udHJvbF9yMWkxcDFfMTAxNjAxLTEwNDUxMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/wap_Amon_MIROC5_AquaControl_r1i1p1_101601-104512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3dhcF9BbW9uX01JUk9DNV9BcXVhQ29udHJvbF9yMWkxcDFfMTAxNjAxLTEwNDUxMi5uYw%3D%3D,
vas_Amon_MIROC5_AquaControl_r1i1p1_101601-104512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3Zhc19BbW9uX01JUk9DNV9BcXVhQ29udHJvbF9yMWkxcDFfMTAxNjAxLTEwNDUxMi5uYw==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3Zhc19BbW9uX01JUk9DNV9BcXVhQ29udHJvbF9yMWkxcDFfMTAxNjAxLTEwNDUxMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/vas_Amon_MIROC5_AquaControl_r1i1p1_101601-104512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3Zhc19BbW9uX01JUk9DNV9BcXVhQ29udHJvbF9yMWkxcDFfMTAxNjAxLTEwNDUxMi5uYw%3D%3D,
va_Amon_MIROC5_AquaControl_r1i1p1_101601-104512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3ZhX0Ftb25fTUlST0M1X0FxdWFDb250cm9sX3IxaTFwMV8xMDE2MDEtMTA0NTEyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3ZhX0Ftb25fTUlST0M1X0FxdWFDb250cm9sX3IxaTFwMV8xMDE2MDEtMTA0NTEyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/va_Amon_MIROC5_AquaControl_r1i1p1_101601-104512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3ZhX0Ftb25fTUlST0M1X0FxdWFDb250cm9sX3IxaTFwMV8xMDE2MDEtMTA0NTEyLm5j,
uas_Amon_MIROC5_AquaControl_r1i1p1_101601-104512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3Vhc19BbW9uX01JUk9DNV9BcXVhQ29udHJvbF9yMWkxcDFfMTAxNjAxLTEwNDUxMi5uYw==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3Vhc19BbW9uX01JUk9DNV9BcXVhQ29udHJvbF9yMWkxcDFfMTAxNjAxLTEwNDUxMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/uas_Amon_MIROC5_AquaControl_r1i1p1_101601-104512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3Vhc19BbW9uX01JUk9DNV9BcXVhQ29udHJvbF9yMWkxcDFfMTAxNjAxLTEwNDUxMi5uYw%3D%3D,
ua_Amon_MIROC5_AquaControl_r1i1p1_101601-104512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3VhX0Ftb25fTUlST0M1X0FxdWFDb250cm9sX3IxaTFwMV8xMDE2MDEtMTA0NTEyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3VhX0Ftb25fTUlST0M1X0FxdWFDb250cm9sX3IxaTFwMV8xMDE2MDEtMTA0NTEyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/ua_Amon_MIROC5_AquaControl_r1i1p1_101601-104512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3VhX0Ftb25fTUlST0M1X0FxdWFDb250cm9sX3IxaTFwMV8xMDE2MDEtMTA0NTEyLm5j,
ts_Amon_MIROC5_AquaControl_r1i1p1_101601-104512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3RzX0Ftb25fTUlST0M1X0FxdWFDb250cm9sX3IxaTFwMV8xMDE2MDEtMTA0NTEyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3RzX0Ftb25fTUlST0M1X0FxdWFDb250cm9sX3IxaTFwMV8xMDE2MDEtMTA0NTEyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/ts_Amon_MIROC5_AquaControl_r1i1p1_101601-104512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3RzX0Ftb25fTUlST0M1X0FxdWFDb250cm9sX3IxaTFwMV8xMDE2MDEtMTA0NTEyLm5j,
tmp,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3RtcA==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3RtcA%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/tmp?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3RtcA%3D%3D,
tauv_Amon_MIROC5_AquaControl_r1i1p1_101601-104512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3RhdXZfQW1vbl9NSVJPQzVfQXF1YUNvbnRyb2xfcjFpMXAxXzEwMTYwMS0xMDQ1MTIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3RhdXZfQW1vbl9NSVJPQzVfQXF1YUNvbnRyb2xfcjFpMXAxXzEwMTYwMS0xMDQ1MTIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/tauv_Amon_MIROC5_AquaControl_r1i1p1_101601-104512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3RhdXZfQW1vbl9NSVJPQzVfQXF1YUNvbnRyb2xfcjFpMXAxXzEwMTYwMS0xMDQ1MTIubmM%3D,
tauu_Amon_MIROC5_AquaControl_r1i1p1_101601-104512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3RhdXVfQW1vbl9NSVJPQzVfQXF1YUNvbnRyb2xfcjFpMXAxXzEwMTYwMS0xMDQ1MTIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3RhdXVfQW1vbl9NSVJPQzVfQXF1YUNvbnRyb2xfcjFpMXAxXzEwMTYwMS0xMDQ1MTIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/tauu_Amon_MIROC5_AquaControl_r1i1p1_101601-104512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3RhdXVfQW1vbl9NSVJPQzVfQXF1YUNvbnRyb2xfcjFpMXAxXzEwMTYwMS0xMDQ1MTIubmM%3D,
tasmin_Amon_MIROC5_AquaControl_r1i1p1_101601-104512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3Rhc21pbl9BbW9uX01JUk9DNV9BcXVhQ29udHJvbF9yMWkxcDFfMTAxNjAxLTEwNDUxMi5uYw==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3Rhc21pbl9BbW9uX01JUk9DNV9BcXVhQ29udHJvbF9yMWkxcDFfMTAxNjAxLTEwNDUxMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/tasmin_Amon_MIROC5_AquaControl_r1i1p1_101601-104512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3Rhc21pbl9BbW9uX01JUk9DNV9BcXVhQ29udHJvbF9yMWkxcDFfMTAxNjAxLTEwNDUxMi5uYw%3D%3D,
tasmax_Amon_MIROC5_AquaControl_r1i1p1_101601-104512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3Rhc21heF9BbW9uX01JUk9DNV9BcXVhQ29udHJvbF9yMWkxcDFfMTAxNjAxLTEwNDUxMi5uYw==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3Rhc21heF9BbW9uX01JUk9DNV9BcXVhQ29udHJvbF9yMWkxcDFfMTAxNjAxLTEwNDUxMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/tasmax_Amon_MIROC5_AquaControl_r1i1p1_101601-104512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3Rhc21heF9BbW9uX01JUk9DNV9BcXVhQ29udHJvbF9yMWkxcDFfMTAxNjAxLTEwNDUxMi5uYw%3D%3D,
tas_Amon_MIROC5_AquaControl_r1i1p1_101601-104512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3Rhc19BbW9uX01JUk9DNV9BcXVhQ29udHJvbF9yMWkxcDFfMTAxNjAxLTEwNDUxMi5uYw==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3Rhc19BbW9uX01JUk9DNV9BcXVhQ29udHJvbF9yMWkxcDFfMTAxNjAxLTEwNDUxMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/tas_Amon_MIROC5_AquaControl_r1i1p1_101601-104512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3Rhc19BbW9uX01JUk9DNV9BcXVhQ29udHJvbF9yMWkxcDFfMTAxNjAxLTEwNDUxMi5uYw%3D%3D,
ta_Amon_MIROC5_AquaControl_r1i1p1_101601-104512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3RhX0Ftb25fTUlST0M1X0FxdWFDb250cm9sX3IxaTFwMV8xMDE2MDEtMTA0NTEyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3RhX0Ftb25fTUlST0M1X0FxdWFDb250cm9sX3IxaTFwMV8xMDE2MDEtMTA0NTEyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/ta_Amon_MIROC5_AquaControl_r1i1p1_101601-104512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3RhX0Ftb25fTUlST0M1X0FxdWFDb250cm9sX3IxaTFwMV8xMDE2MDEtMTA0NTEyLm5j,
slrc_Amon_MIROC5_AquaControl_r1i1p1_101601-104512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3NscmNfQW1vbl9NSVJPQzVfQXF1YUNvbnRyb2xfcjFpMXAxXzEwMTYwMS0xMDQ1MTIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3NscmNfQW1vbl9NSVJPQzVfQXF1YUNvbnRyb2xfcjFpMXAxXzEwMTYwMS0xMDQ1MTIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/slrc_Amon_MIROC5_AquaControl_r1i1p1_101601-104512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3NscmNfQW1vbl9NSVJPQzVfQXF1YUNvbnRyb2xfcjFpMXAxXzEwMTYwMS0xMDQ1MTIubmM%3D,
sfcWind_Amon_MIROC5_AquaControl_r1i1p1_101601-104512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3NmY1dpbmRfQW1vbl9NSVJPQzVfQXF1YUNvbnRyb2xfcjFpMXAxXzEwMTYwMS0xMDQ1MTIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3NmY1dpbmRfQW1vbl9NSVJPQzVfQXF1YUNvbnRyb2xfcjFpMXAxXzEwMTYwMS0xMDQ1MTIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/sfcWind_Amon_MIROC5_AquaControl_r1i1p1_101601-104512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL01JUk9DNS9BcXVhQ29udHJvbC9BbW9uL3NmY1dpbmRfQW1vbl9NSVJPQzVfQXF1YUNvbnRyb2xfcjFpMXAxXzEwMTYwMS0xMDQ1MTIubmM%3D,
